id,smiles,notes,params_json
CHEMBL181035,O=C(O)/C=C/c1ccccc1/C=C/c1ccccc1OCc1ccccc1,,
CHEMBL180965,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CN)NC(=O)c1nn[nH]n1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)Nc1cccc(C(=O)O)c1,,
CHEMBL180880,CCN(Cc1ccccc1)Cc1sc(Nc2c(Cl)cc(Cl)cc2Cl)nc1C(F)(F)F,,
CHEMBL4443016,CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@@H](CCC(=O)O)NC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,,
CHEMBL180735,Cc1ccccc1-c1cc(C(OCc2noc(-c3ccccc3)n2)c2cncn2C)ccc1C#N,,
CHEMBL180649,O=C(NC(NC(=S)Nc1ccccn1)C(Cl)(Cl)Cl)c1ccccc1,,
CHEMBL180650,Cc1ccccc1-c1ccc(-c2ccc3c(c2)c(C)c(CC(C)(C)C(=O)O)n3Cc2ccc(Cl)cc2)cc1F,,
CHEMBL180653,CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCC(C(N)=O)CC3)ncn2)cc1C(F)(F)F,,
CHEMBL179003,O=C(NC/C=C/CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccccc1Cl,,
CHEMBL179004,CN[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)c1nc2ccccc2s1,,
CHEMBL178915,C[C@]12CCCC[C@@]1(c1cccc(O)c1)CCN(CCCc1ccccc1)C2,,
CHEMBL178916,Cc1ccccc1CC(=O)N1CCC(N2CCC(Cc3ccc(Cl)cc3F)CC2)CC1,,
CHEMBL178752,O=C(NCC(=O)N(CCOCc1ccccc1)C1CCCC1)c1cc2cc(Cl)ccc2[nH]1,,
CHEMBL178754,O=C(Nc1ccccc1C(=O)O)c1ccc(-c2ccc(O)cc2)c(Oc2ccccc2)c1,,
CHEMBL180030,O=c1c2ccccc2nc(-c2ccccc2O)n1CCc1ccccc1,,
CHEMBL180034,O=C(c1ccccc1Cl)N(CCc1ccccn1)CC1CCN(CCc2ccccc2)CC1,,
CHEMBL181178,C=CC(O)c1ccccc1O,,
CHEMBL181182,CC(C)[C@H](NC(=O)CN)C(=O)N1CCC[C@H]1C(=O)NCCc1ccccc1,,
CHEMBL181183,O=C(N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1)c1cccc(-c2ccccc2)c1,,
CHEMBL181187,O=C(CCCCCCCCc1ccccc1)C(F)(F)F,,
CHEMBL180886,C[C@H](NC(=O)/C=C/c1ccccc1Cl)c1ccc2c(c1)OCO2,,
CHEMBL180812,N#Cc1c(Cl)cccc1OC[C@H](O)CN1CC[C@@H](O)[C@H]1Cc1ccccc1,,
CHEMBL4442738,O=C(N[C@H](C(=O)NCc1ccncc1)c1ccccc1)c1ccc2ccccc2c1,,
CHEMBL180651,Cc1ccccc1CC(=O)N1CCC(N2CCC(Cc3ccc(Cl)cc3)CC2)CC1,,
CHEMBL180739,CCOC(=O)CC(NC(=O)[C@H](C)N)c1ccccc1,,
CHEMBL3326984,COc1ccccc1N1CCN(CCCCC(=O)NCc2ccccc2-c2ccc(Cl)cc2)CC1,,
CHEMBL180743,CN(C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1)c1cccc(Oc2ccccc2)c1,,
CHEMBL4442807,O=C(Nc1nn(Cc2ccc(C(F)(F)F)cc2)c2ccccc12)c1ccsc1Cl,,
CHEMBL179088,Oc1ccccc1/C=C/c1ccc(F)c(F)c1,,
CHEMBL178755,CN(Cc1ccccc1)C1CCN(c2ccc(NC(=O)c3ccc(-c4ccccc4)cc3)cc2)C1,,
CHEMBL178832,O=C(Nc1ccccc1C(=O)O)c1ccc(N2CCNCC2)c(Oc2ccccc2)c1,,
CHEMBL178757,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(C)C(=O)[C@H]1C)C(C)C)c1ccccc1,,
CHEMBL178761,CN(C)C(=O)/C(=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,,
CHEMBL181257,CC(C)(C)NC(=O)NCCc1nc2cc(S(=O)(=O)NCc3ccccc3F)ccc2n1Cc1ccccc1,,
CHEMBL181262,C=CCNC(=O)C[C@H](NC(=O)C(NC(=O)OCC=C)C(C)C)C(=O)N[C@@H](CC(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C,,
CHEMBL181188,COc1ccccc1S[C@@H](c1ccccc1)[C@@H]1CNCCO1,,
CHEMBL181192,CCNC(=O)NCCCc1cccc2c1C[C@@H](CCCCc1ccccc1)O2,,
CHEMBL181111,COc1ccccc1Sc1ccc(-c2ccnc(N3CCN(C(C)=O)CC3)c2)cc1C(F)(F)F,,
CHEMBL181113,O=C(CS)NCCCCCNC(=O)Nc1ccccc1,,
CHEMBL181046,O=C(NCCCN1CCOCC1)[C@H](Cc1ccccc1)NC(=O)N1CCN(c2ccccc2)CC1,,
CHEMBL180975,CCc1ccccc1OCC(O)CNC(C)(C)Cc1cc2ccccc2[nH]1,,
CHEMBL180892,CS(=O)(=O)Nc1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H]2Cc3ccccc3CN2)CC1,,
CHEMBL180817,COc1ccccc1OCCN[C@H]1CC[C@@H](c2c[nH]c3ccc(F)cc32)CC1,,
CHEMBL4442870,COc1ccccc1NC(=O)c1c(N)cccc1Sc1ccncc1,,
CHEMBL180825,CN/C(=N\c1ccccc1)SC,,
CHEMBL180826,O=S(=O)(c1ccccc1)n1cc(C2CCNCC2)c2ccccc21,,
CHEMBL179094,O=c1cc(NCCOc2ccccc2Br)oc2c1ccc1ccccc12,,
CHEMBL178835,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccccc1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,,
CHEMBL178919,Cc1ccccc1-c1nc(N2CCC(N3CCCC3)CC2)nc2c1C(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)CCCO2,,
CHEMBL178836,CCCCC(c1ccccc1)N(CCC)c1nc(-c2ccc(Cl)cc2OC)n(C)n1,,
CHEMBL181330,O=C(Nc1ccc(OCc2cccc(Cl)c2)cc1)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL181338,N#Cc1c(Cl)cccc1OC[C@H](O)CN1CC[C@H](F)[C@H]1Cc1ccccc1,,
CHEMBL181274,CCC(C(=O)N[C@@H](CC(=O)O)C(=O)CN[C@@H](C)c1ccccc1)n1ccnc(NCc2nonc2C)c1=O,,
CHEMBL181197,CC(C)c1ccccc1Sc1ccc(-c2ccnc(N3CCCC(C(=O)O)C3)c2)cc1C(F)(F)F,,
CHEMBL180981,CC(C)NCCOc1cccc2c1ccn2S(=O)(=O)c1ccccc1,,
CHEMBL180897,CCCNC1(c2ccccc2)c2ccccc2C(=O)N1Cc1ccccc1,,
CHEMBL180903,O=C(NS(=O)(=O)c1ccc(Nc2cn3cc(C(=O)c4c(Cl)cccc4Cl)ccc3n2)cc1)c1ccccc1,,
CHEMBL178844,S=C(CNCc1ccccc1)C1CCCC1,,
CHEMBL180127,O=C(/C=C/c1ccccc1)NC(NC(=S)Nc1cccc2cccnc12)C(Cl)(Cl)Cl,,
CHEMBL181343,CC(C)c1ccccc1Sc1ccc(-c2ccnc(N3CCCC3)c2)cc1C(F)(F)F,,
CHEMBL180132,O=S(=O)(NC1C2CCC1Cc1ccccc1C2)c1ccc(Cl)cc1,,
CHEMBL180137,CCc1nc2n(c1C(=O)N(Cc1ccccc1)Cc1ccccc1)CCN2c1c(C)cc(C)cc1C,,
CHEMBL180063,COC(=O)COc1cc2c(c3c1c(C(=O)C(N)=O)c(C)n3Cc1ccccc1)CCCC2,,
CHEMBL181123,CC(C)N(CCNC(=O)C1c2ccc(OCc3ccccc3)cc2CCN1C(=O)S(=O)(=O)Cc1ccccc1)C(C)C,,
CHEMBL181057,CC(C)c1nc2cc(S(=O)(=O)NCc3ccc(F)cc3)ccc2n1Cc1ccccc1,,
CHEMBL180990,O=C(Nc1ccccc1)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL4442753,O=C(NNS(=O)(=O)c1ccccc1)c1cccc(Cl)c1F,,
CHEMBL179266,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,,
CHEMBL179269,CN[C@@H](Cn1c(=O)c(-c2cccc(OC)c2)c(C)n(Cc2c(F)cccc2F)c1=O)c1ccccc1,,
CHEMBL180204,CC(C)[C@H](NC(=O)[C@H](C)N)C(=O)N1CCC[C@H]1C(=O)NC(c1ccccc1)c1ccccc1,,
CHEMBL180131,CC(C)[C@H](NC(=O)C(C)(C)O)C(=O)N[C@@H](CC(=O)O)C(=O)CSCc1ccccc1,,
CHEMBL180135,O=C(CN(O)c1ccccc1)Nc1cccnc1C(=O)Nc1nccs1,,
CHEMBL180139,Cc1ccccc1-c1cc(C(OCc2ccc(OC(F)(F)F)cc2)c2cncn2C)ccc1C#N,,
CHEMBL180065,NC(=O)/C(=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccccc1,,
